시도,센터명,소재지,홈페이지
경기,평택시,경기도 평택시 성동로11번길 2(비전동),http://www.ptct.or.kr/
경기,하남시,경기도 하남시 미사강변대로 54번길 125 6층,http://www.hnchildcare.or.kr/
경기,화성시,경기도 화성시 봉담읍 최루백로 165 플러츠상가 3층,http://hsicare.or.kr/
경기,가평군,"경기도 가평군 석봉로 191번길 19, 3층",http://www.gpicare.or.kr/
경기,고양시,경기도 고양시 덕양구 화신로325(화정동),http://echild.or.kr/
경기,구리시,경기도 구리시 동구룽로53번길34(인창동527-37),http://www.guricenter.go.kr/
경기,남양주시,경기도 남양주시 진접읍 해밀예당1로 96 어린이비전센터,http://www.nyjscc.kr/
경기,양주시,경기도 양주시 화합로 1426번길 90 (덕정동) 체육복지센터 3층,http://www.yjscic.or.kr/
경기,의정부시,"경기도 의정부시 신흥로 198번길 덕암빌딩 3,4층(의정부동 572-5)",http://icare.or.kr/
경기,파주시,경기도 파주시 문산읍 통일1680 문산행복센터 3층,http://www.pajuscc.or.kr/
경기,포천시,"경기도 포천시 신북면 중앙로 207번길 26, 1층",http://www.pocheonscc.or.kr/
강원,강릉시,강원도 강릉시 용지각길20번안길 3(3층)(포남동),http://kneducare.or.kr/
강원,원주시,강원도 원주시 세계로 31,http://www.wjeducare.or.kr/
강원,춘천시,강원도 춘천시 소양로 77,http://www.cchildcare.or.kr/
충청도,아산시,충청남도 아산시 실옥로 46,http://asanscc.or.kr/
충청도,천안시,충청남도 천안시 서북구 3공단 6로 127-1,http://www.ceic.or.kr/
충청도,제천시,"충청북도 제천시 풍양로 108, 나동 2층(중앙로 1가 중앙시장)",http://www.jcicare.com/
충청도,청주시,충청북도 청주시 청원구 내덕로 13-2(내덕동),http://cjkids.or.kr/
충청도,충주시,충청북도 충주시 남한강로 40,http://cjicare.or.kr/index.asp
충청도,진천군,충청북도 진천군 덕산읍 대하로 60,https://www.jcicare.or.kr/
전라도,광양시,전라남도 광양시 중동로 108,https://childcare.gwangyang.go.kr/
전라도,순천시,전라남도 순천시 율산길 27,http://main.suncheon.go.kr/childcare/
전라도,여수시,전라남도 여수시 웅천6길 47,http://yeosuchildcare.or.kr/bbs/landing.php
전라도,군산시,전라북도 군산시 대학로 330(1~2층),http://www.hwgunsan.or.kr/
전라도,익산시,전라북도 익산시 궁동로 43,http://childcare.iksan.go.kr/
전라도,전주시,전라북도 전주시 완산구 산너머 3길 61번길 2동 3층,http://www.jeonjuscc.or.kr/
전라도,고창군,전라북도 고창군 고창읍 월곡뉴타운 2길 20,http://www.gochang.go.kr/childcare/index.gochang
경상도,거제시,경상남도 거제시 제산로 64,http://childcare.geoje.go.kr/
경상도,양산시,경상남도 양산시 물금로 223,http://www.yangsan.go.kr/childcare/main.do
경상도,진주시,경상남도 진주시 남강로 1463번길 17(하대동),http://www.jinju.go.kr/care/
경상도,창원시,경상남도 창원시 성산구 대정로 20번길 11 창원시여성회관 창원관 4층,http://ec.changwon.go.kr/
경상도,합천군,경상남도 합천군 합천읍 동서로 109,http://hc4children.or.kr/
경상도,김천시,경상북도 김천시 용전1로1길 25,http://www.gc.go.kr/childcare/pages/
경상도,문경시,경상북도 문경시 점촌역옆길 25(흥덕동 257-1),https://www.mgcare.or.kr/main/index.php
경상도,상주시,경상북도 상주시 무양2길 49,http://www.sjchildcare.or.kr/pages/index.htm
경상도,안동시,경상북도 안동시 옥동 732-3,https://www.adeducare.or.kr:2026/
경상도,포항시,경상북도 포항시 남구 뱃머리길 39 포항시 평생교육관 407호,http://www.phcare.or.kr/
제주도,서귀포시,제주특별자치도 서귀포시 신동로 22(법화동),http://www.sgpchildcare.or.kr/
